title,price,rating,reviews,availability,colore,Dimensione prodotto,peso_articolo,link
"Napisan Spray Disinfettante Multisuperfici, Limone e Menta, Confezione da 12 Spray Disinfettanti, Spray da 750 ml","23,99€",4.7,197.0,Disponibilità immediata,['bianco'],"35,2 x 23,2 x 28,7 cm",,https://www.amazon.it/Napisan-Igienizzante-Superfici-Limone-Confezione/dp/B018U6VDRE/ref=sr_1_145_sspa?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-145-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&psc=1
"BactPro - BactHome - elimina odori, macchie di sudore e urina da materassi, vestiti, tessuti, scarpe e attrezzature sportive - Attivatore Biologico - Spray 750 ml","15,99€",4.3,913.0,Disponibilità immediata,"['nero', 'rosa', 'giallo']","‎5,5 x 10 x 30 cm; 850 grammi",,https://www.amazon.it/BactHome-materassi-attrezzature-attivatore-biologico/dp/B09B2QH4FX/ref=sr_1_146_sspa?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-146-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&psc=1
"Fulcron Sgrassatore Pronto all'Uso, Super Sgrassatore Spray Professionale, Igienizzante Universale, Per Ogni tipo di Sporco, Pulizia Profonda, Profumato, 750 ml","7,50€",4.4,165.0,Disponibilità immediata,[],"‎11,3 x 5,2 x 27,3 cm; 891,66 grammi",892.0,https://www.amazon.it/Sgrassatore-Professionale-Igienizzante-Universale-Profumato/dp/B08D6RYVR6/ref=sr_1_147_sspa?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-147-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&psc=1
"ECASAN Spray Igienizzante Multiuso Spray Disinfettante Tessuti, Superfici e Oggetti, Sanificante Ambienti Prodotto Naturale e Delicato per Pulizia Casa e Cucina - Formula Green e Vegan (500 ml)","12,90€",4.5,67.0,Disponibilità immediata,[],,,https://www.amazon.it/Igienizzante-Ambienti-Multiuso-Superfici-Sanificante/dp/B0BN1QVDPM/ref=sr_1_148_sspa?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-148-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&psc=1
"Rhütten Azione Disodorante Pulitore Schiumogeno per la Pulizia dei Tessuti, Dotato di Spazzola, 400 ml","6,69€",4.0,856.0,Disponibilità immediata,[],‎6 x 6 x 25 cm; 440 grammi,440.0,https://www.amazon.it/Rhutten-180716-Pulitore-Tessuti-Spazzola/dp/B01M70QCWO/ref=sr_1_149?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-149
3 Pulitore vetro camino pulizia vetri caminetti stufe Flacone da 750 ml rimuovi fuliggine sgrassatore professionale,"29,90€",3.0,2.0,Disponibilità immediata,['nero'],,,https://www.amazon.it/Pulitore-caminetti-fuliggine-sgrassatore-professionale/dp/B08W5H4V1F/ref=sr_1_150?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-150
"Bardahl K9 - Pulitore Sgrassatore Catena Bici e Moto Superiore, Rimuovere Morchie, Olio, Sgrassante Chain Cleaner for Bike and Motorcycle","12,50€",4.1,20.0,Disponibilità immediata,[],,,https://www.amazon.it/Bardahl-Superiore-Sgrassatore-Sgrassante-Motorcycle/dp/B0BHT4GC8L/ref=sr_1_151?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-151
"Napisan Spray Disinfettante Multisuperfici, Limone e Menta, Confezione da 12 Spray Disinfettanti, Spray da 750 ml","23,99€",4.7,197.0,Disponibilità immediata,['bianco'],"35,2 x 23,2 x 28,7 cm",,https://www.amazon.it/Napisan-Igienizzante-Superfici-Limone-Confezione/dp/B018U6VDRE/ref=sxin_17_pa_sp_search_thematic_sspa?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&content-id=amzn1.sym.67a3e64a-7fcc-40cb-a348-256ff292c061%3Aamzn1.sym.67a3e64a-7fcc-40cb-a348-256ff292c061&crid=JAY03S5DCEYW&cv_ct_cx=sgrassatori+spray&keywords=sgrassatori+spray&pd_rd_i=B018U6VDRE&pd_rd_r=b2cae5be-dd41-4c56-8ff8-25943e961200&pd_rd_w=OR0xf&pd_rd_wg=tHeen&pf_rd_p=67a3e64a-7fcc-40cb-a348-256ff292c061&pf_rd_r=5VFE7EN8VK48M2D4RS9G&qid=1700829358&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=sgrassatore+spray%2Caps%2C123&sr=1-145-b1149505-6a8e-43e6-ad16-2b4f2671e365-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&psc=1
"BactPro - BactHome - elimina odori, macchie di sudore e urina da materassi, vestiti, tessuti, scarpe e attrezzature sportive - Attivatore Biologico - Spray 750 ml","15,99€",4.3,913.0,Disponibilità immediata,"['nero', 'rosa', 'giallo']","‎5,5 x 10 x 30 cm; 850 grammi",,https://www.amazon.it/BactHome-materassi-attrezzature-attivatore-biologico/dp/B09B2QH4FX/ref=sxin_17_pa_sp_search_thematic_sspa?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&content-id=amzn1.sym.67a3e64a-7fcc-40cb-a348-256ff292c061%3Aamzn1.sym.67a3e64a-7fcc-40cb-a348-256ff292c061&crid=JAY03S5DCEYW&cv_ct_cx=sgrassatori+spray&keywords=sgrassatori+spray&pd_rd_i=B09B2QH4FX&pd_rd_r=b2cae5be-dd41-4c56-8ff8-25943e961200&pd_rd_w=OR0xf&pd_rd_wg=tHeen&pf_rd_p=67a3e64a-7fcc-40cb-a348-256ff292c061&pf_rd_r=5VFE7EN8VK48M2D4RS9G&qid=1700829358&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=sgrassatore+spray%2Caps%2C123&sr=1-146-b1149505-6a8e-43e6-ad16-2b4f2671e365-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&psc=1
"Chanteclair - Sgrassatore Universale Formato Ricarica, Superpotente, Profumo di Limone, Formula Originale - 12 Flaconi da 750 ml","23,40€",4.4,194.0,Disponibilità immediata,[],,,https://www.amazon.it/CHANTECLAIR-Ricarica-Sgrassatore-Universale-Profumo/dp/B09BK39631/ref=sxin_17_pa_sp_search_thematic_sspa?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&content-id=amzn1.sym.67a3e64a-7fcc-40cb-a348-256ff292c061%3Aamzn1.sym.67a3e64a-7fcc-40cb-a348-256ff292c061&crid=JAY03S5DCEYW&cv_ct_cx=sgrassatori+spray&keywords=sgrassatori+spray&pd_rd_i=B09BK39631&pd_rd_r=b2cae5be-dd41-4c56-8ff8-25943e961200&pd_rd_w=OR0xf&pd_rd_wg=tHeen&pf_rd_p=67a3e64a-7fcc-40cb-a348-256ff292c061&pf_rd_r=5VFE7EN8VK48M2D4RS9G&qid=1700829358&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=sgrassatore+spray%2Caps%2C123&sr=1-147-b1149505-6a8e-43e6-ad16-2b4f2671e365-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&psc=1
