"country","countryCode","date","filterByRating","isVerified","position","product/listPrice","product/listPrice/currency","product/listPrice/value","product/price","product/price/currency","product/price/value","productAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewImages/6","reviewImages/7","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","variant"
"Italy",,"2022-09-28","threeStar","true","1",,,,,"€","3.1","B08SXYZKZB","3","https://www.amazon.com/product-reviews/B08SXYZKZB?reviewerType=all_reviews&pageNumber=1&asin=B08SXYZKZB&scope=reviewsAjax1&filterByStar=three_star&sortBy=helpful","Costano meno che al supermercato è il profumo è molto buono",,,,,,,,,"","Prezzo ottimo","https://www.amazon.it/gp/customer-reviews/RHXO955W5KGM6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08SXYZKZB","Reviewed in Italy on 28 September 2022","25","2","Size: 650 ml (Confezione da 2)"
"Italy",,"2021-08-24","threeStar","true","2",,,,,"€","3.1","B08SXYZKZB","3","https://www.amazon.com/product-reviews/B08SXYZKZB?reviewerType=all_reviews&pageNumber=1&asin=B08SXYZKZB&scope=reviewsAjax1&filterByStar=three_star&sortBy=helpful","Sgassatore davvero ottimo, sgrassa al 100% tutte le superfici della casa, ho trovato un offerta risparmio, prodotto provato per la prima volta, lo Uso sopratutto in bagno dopo aver spruzzato direttamente sulla superficie dove ci sono più batteri e poi risciacquo, l'odore un po sgradevole, tenere fuori dalla portata dei bambini","https://m.media-amazon.com/images/I/812l8Xv68oL._SY88.jpg","https://m.media-amazon.com/images/I/81M9VHxJd6L._SY88.jpg","https://m.media-amazon.com/images/I/81UzammiGtL._SY88.jpg",,,,,,"19 people found this helpful","Sgrassa al 100% + offerta risparmio","https://www.amazon.it/gp/customer-reviews/R2ANLS2CBZTDY5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08SXYZKZB","Reviewed in Italy on 24 August 2021","25","2","Size: 650 ml (Confezione da 2)"
"Italy",,"2023-09-20","fiveStar","true","1",,,,,,,"B08VKBWXH8","5","https://www.amazon.com/product-reviews/B08VKBWXH8?reviewerType=all_reviews&pageNumber=1&asin=B08VKBWXH8&scope=reviewsAjax1&filterByStar=five_star&sortBy=helpful","Ho avuto l'opportunità di utilizzare lo sgrassatore universale Smac Express e sono rimasto impressionato dalla sua efficacia. Questo prodotto si è dimostrato straordinario nel rimuovere grasso ostinato e sporco da superfici diverse in cucina e oltre.La sua formula potente, ma al contempo delicata, ha reso lo sgrassatore Smac Express adatto per l'uso su vari materiali, tra cui piani cottura, pentole e teglie. Ha anche dimostrato di essere efficace nella pulizia di barbecue e griglie.La sua praticità d'uso è un altro punto a suo favore. Basta spruzzare il prodotto sulla superficie da pulire, attendere qualche istante e quindi strofinare via lo sporco con facilità.Un'altra caratteristica notevole è il suo profumo fresco e pulito, che lascia una sensazione di pulizia e igiene.In generale, lo sgrassatore universale Smac Express si è rivelato un alleato eccezionale nelle pulizie domestiche, offrendo prestazioni elevate e risultati soddisfacenti. Se cerchi un sgrassatore efficace e affidabile, questo prodotto è sicuramente da prendere in considerazione.",,,,,,,,,"","sgrassa e non lascia aloni","https://www.amazon.it/gp/customer-reviews/R3P5B761CAOOFY?ASIN=B08VKBWXH8","Reviewed in Italy on 20 September 2023","249","55","Size Name: 12 x 650 mlStyle Name: Universal"
"Italy",,"2023-10-17","fiveStar","true","2",,,,,,,"B08VKBWXH8","5","https://www.amazon.com/product-reviews/B08VKBWXH8?reviewerType=all_reviews&pageNumber=1&asin=B08VKBWXH8&scope=reviewsAjax1&filterByStar=five_star&sortBy=helpful","Ottimo sgrassatore, non lascia aloni e pulisce benissimo",,,,,,,,,"","Ottimo","https://www.amazon.it/gp/customer-reviews/RMCRNPFP6VHS3?ASIN=B08VKBWXH8","Reviewed in Italy on 17 October 2023","249","55","Size Name: 12 x 650 mlStyle Name: Universal"
"Italy",,"2023-09-11","fiveStar","true","3",,,,,,,"B08VKBWXH8","5","https://www.amazon.com/product-reviews/B08VKBWXH8?reviewerType=all_reviews&pageNumber=1&asin=B08VKBWXH8&scope=reviewsAjax1&filterByStar=five_star&sortBy=helpful","Ottimo Prodotto 👍",,,,,,,,,"","Ottimo Prodotto 👍","https://www.amazon.it/gp/customer-reviews/RSM8X6KVIZKVJ?ASIN=B08VKBWXH8","Reviewed in Italy on 11 September 2023","249","55","Size Name: 3 x 650 mlStyle Name: Universal"
"Italy",,"2023-07-24","fiveStar","true","4",,,,,,,"B08VKBWXH8","5","https://www.amazon.com/product-reviews/B08VKBWXH8?reviewerType=all_reviews&pageNumber=1&asin=B08VKBWXH8&scope=reviewsAjax1&filterByStar=five_star&sortBy=helpful","Indubbiamente uno dei migliori sgrassatori, specialmente a livello di prezzo, per lo meno quando lo comprai io",,,,,,,,,"","Uno dei migliori sgrassatori!","https://www.amazon.it/gp/customer-reviews/R3OSD39OC17BT?ASIN=B08VKBWXH8","Reviewed in Italy on 24 July 2023","249","55","Size Name: 3 x 650 mlStyle Name: Universal"
"Italy",,"2023-07-27","fiveStar","true","5",,,,,,,"B08VKBWXH8","5","https://www.amazon.com/product-reviews/B08VKBWXH8?reviewerType=all_reviews&pageNumber=1&asin=B08VKBWXH8&scope=reviewsAjax1&filterByStar=five_star&sortBy=helpful","È molto profumato",,,,,,,,,"One person found this helpful","Sgrassatore","https://www.amazon.it/gp/customer-reviews/R2RY68FPPJB9F5?ASIN=B08VKBWXH8","Reviewed in Italy on 27 July 2023","249","55","Size Name: 3 x 650 mlStyle Name: Universal"
"Italy",,"2023-07-19","fiveStar","true","6",,,,,,,"B08VKBWXH8","5","https://www.amazon.com/product-reviews/B08VKBWXH8?reviewerType=all_reviews&pageNumber=1&asin=B08VKBWXH8&scope=reviewsAjax1&filterByStar=five_star&sortBy=helpful","Pulito sempre perfetto grande marchio top.",,,,,,,,,"","Ottimo pulitore","https://www.amazon.it/gp/customer-reviews/R28N70W3GT7YCY?ASIN=B08VKBWXH8","Reviewed in Italy on 19 July 2023","249","55","Size Name: 3 x 650 mlStyle Name: Universal"
"Italy",,"2023-07-17","fiveStar","true","7",,,,,,,"B08VKBWXH8","5","https://www.amazon.com/product-reviews/B08VKBWXH8?reviewerType=all_reviews&pageNumber=1&asin=B08VKBWXH8&scope=reviewsAjax1&filterByStar=five_star&sortBy=helpful","Buon rapporto qualità prezzo",,,,,,,,,"","Buon prodotto per la casa","https://www.amazon.it/gp/customer-reviews/R3DRPFPW9WNPA0?ASIN=B08VKBWXH8","Reviewed in Italy on 17 July 2023","249","55","Size Name: 3 x 650 mlStyle Name: Universal"
"Italy",,"2023-07-12","fiveStar","true","8",,,,,,,"B08VKBWXH8","5","https://www.amazon.com/product-reviews/B08VKBWXH8?reviewerType=all_reviews&pageNumber=1&asin=B08VKBWXH8&scope=reviewsAjax1&filterByStar=five_star&sortBy=helpful","Fa il suo lavoro",,,,,,,,,"","Ottimo","https://www.amazon.it/gp/customer-reviews/R3OQ03G9UJ7H4Z?ASIN=B08VKBWXH8","Reviewed in Italy on 12 July 2023","249","55","Size Name: 3 x 650 mlStyle Name: Universal"
